date	region	fips	infections	deaths
2020-05-06	North West	2	27929	4412
2020-05-06	North East	3	11203	1511
2020-05-06	London	4	29417	5716
2020-05-06	Yorkshire and The Humber	5	16359	2412
2020-05-06	West Midlands	6	17677	3611
2020-05-06	South East	7	17677	3683
2020-05-06	South West	8	9238	1463
2020-05-06	East of England	9	15826	3036
2020-05-07	East Midlands	1	10977	2026
2020-05-07	North West	2	28439	4488
2020-05-07	North East	3	11402	1544
2020-05-07	London	4	29690	5744
2020-05-07	Yorkshire and The Humber	5	16817	2470
2020-05-07	West Midlands	6	18047	3654
2020-05-07	South East	7	18047	3730
2020-05-07	South West	8	9417	1491
2020-05-07	East of England	9	16222	3084
2020-05-08	East Midlands	1	11246	2057
2020-05-08	North West	2	28922	4555
2020-05-08	North East	3	11561	1571
2020-05-08	London	4	29896	5774
2020-05-08	Yorkshire and The Humber	5	17169	2516
2020-05-08	West Midlands	6	18389	3689
2020-05-08	South East	7	18389	3773
2020-05-08	South West	8	9595	1505
2020-05-08	East of England	9	16451	3120
2020-05-09	East Midlands	1	11422	2091
2020-05-09	North West	2	29268	4603
2020-05-09	North East	3	11711	1596
2020-05-09	London	4	30024	5799
2020-05-09	Yorkshire and The Humber	5	17414	2553
2020-05-09	West Midlands	6	18552	3726
2020-05-09	South East	7	18552	3827
2020-05-09	South West	8	9701	1529
2020-05-09	East of England	9	16654	3162
2020-05-10	East Midlands	1	11619	2115
2020-05-10	North West	2	29614	4674
2020-05-10	North East	3	11858	1614
2020-05-10	London	4	30150	5826
2020-05-10	Yorkshire and The Humber	5	17711	2600
2020-05-10	West Midlands	6	18770	3760
2020-05-10	South East	7	18770	3859
2020-05-10	South West	8	9835	1542
2020-05-10	East of England	9	16863	3196
2020-05-11	East Midlands	1	11923	2144
2020-05-11	North West	2	30143	4726
2020-05-11	North East	3	12086	1639
2020-05-11	London	4	30312	5849
2020-05-11	Yorkshire and The Humber	5	18138	2629
2020-05-11	West Midlands	6	19021	3785
2020-05-11	South East	7	19021	3898
2020-05-11	South West	8	10088	1554
2020-05-11	East of England	9	17255	3221
2020-05-12	East Midlands	1	12244	2177
2020-05-12	North West	2	30688	4788
2020-05-12	North East	3	12304	1657
2020-05-12	London	4	30505	5864
2020-05-12	Yorkshire and The Humber	5	18513	2657
2020-05-12	West Midlands	6	19330	3816
2020-05-12	South East	7	19330	3942
2020-05-12	South West	8	10265	1562
2020-05-12	East of England	9	17570	3256
2020-05-13	East Midlands	1	12542	2193
2020-05-13	North West	2	31216	4824
2020-05-13	North East	3	12447	1686
2020-05-13	London	4	30709	5876
